Specimen,DAPC_Cluster_Name,DAPC_Cluster,Site,SiteOrder
L_gent_Pop026,One,1,DuckRiver_Centerville,3
L_gent_Pop031,One,1,DuckRiver_Centerville,3
L_gent_Pop033,One,1,DuckRiver_Centerville,3
L_ful_Pop199,One,1,DuckRiver_TottyBend,4
L_ful_Pop200,One,1,DuckRiver_TottyBend,4
L_ful_Pop203,One,1,DuckRiver_TottyBend,4
L_ful_Pop207,One,1,DuckRiver_TottyBend,4
L_gent_Pop168,One,1,DuckRiver_TottyBend,4
L_gent_Pop169,One,1,DuckRiver_TottyBend,4
L_gent_Pop195,One,1,DuckRiver_LittleLot,5
L_ful_Pop001,One,1,DuckRiver_BrattonLane,6
L_ful_Pop004,One,1,DuckRiver_BrattonLane,6
L_ful_Pop005,One,1,DuckRiver_BrattonLane,6
L_ful_Pop006,One,1,DuckRiver_BrattonLane,6
L_ful_Pop007,One,1,DuckRiver_BrattonLane,6
L_ful_Pop009,One,1,DuckRiver_BrattonLane,6
L_ful_Pop010,One,1,DuckRiver_BrattonLane,6
L_gent_Pop005,One,1,DuckRiver_BrattonLane,6
L_gent_Pop006,One,1,DuckRiver_BrattonLane,6
L_gent_Pop007,One,1,DuckRiver_BrattonLane,6
L_gent_Pop009,One,1,DuckRiver_BrattonLane,6
L_gent_Pop012,One,1,DuckRiver_BrattonLane,6
L_gent_Pop013,One,1,DuckRiver_BrattonLane,6
L_ful_Pop101,One,1,DuckRiver_KettleMills,7
L_ful_Pop102,One,1,DuckRiver_KettleMills,7
L_ful_Pop103,One,1,DuckRiver_KettleMills,7
L_ful_Pop104,One,1,DuckRiver_KettleMills,7
L_ful_Pop106,One,1,DuckRiver_KettleMills,7
L_ful_Pop107,One,1,DuckRiver_KettleMills,7
L_ful_Pop108,One,1,DuckRiver_KettleMills,7
L_ful_Pop109,One,1,DuckRiver_KettleMills,7
L_ful_Pop110,One,1,DuckRiver_KettleMills,7
L_gent_Pop105,One,1,DuckRiver_KettleMills,7
L_cf_gent_009,One,1,DuckRiver_FikesMill,8
L_cf_gent_011,One,1,DuckRiver_FikesMill,8
L_ful_Pop025,One,1,DuckRiver_FikesMill,8
L_ful_Pop026,One,1,DuckRiver_FikesMill,8
L_ful_Pop027,One,1,DuckRiver_FikesMill,8
L_ful_Pop029,One,1,DuckRiver_FikesMill,8
L_cf_dutt_037,One,1,DuckRiver_RobertsBend,9
L_cf_dutt_038,One,1,DuckRiver_RobertsBend,9
L_ful_Pop153,One,1,DuckRiver_RobertsBend,9
L_ful_Pop154,One,1,DuckRiver_RobertsBend,9
L_ful_Pop155,One,1,DuckRiver_RobertsBend,9
L_ful_Pop156,One,1,DuckRiver_RobertsBend,9
L_ful_Pop157,One,1,DuckRiver_RobertsBend,9
L_ful_Pop158,One,1,DuckRiver_RobertsBend,9
L_ful_Pop159,One,1,DuckRiver_RobertsBend,9
L_ful_Pop160,One,1,DuckRiver_RobertsBend,9
L_ful_Pop161,One,1,DuckRiver_RobertsBend,9
L_ful_Pop162,One,1,DuckRiver_RobertsBend,9
L_gent_Pop133,One,1,DuckRiver_RobertsBend,9
L_gent_Pop134,One,1,DuckRiver_RobertsBend,9
L_gent_Pop135,One,1,DuckRiver_RobertsBend,9
L_gent_Pop136,One,1,DuckRiver_RobertsBend,9
L_gent_Pop137,One,1,DuckRiver_RobertsBend,9
L_gent_Pop139,One,1,DuckRiver_RobertsBend,9
L_gent_Pop140,One,1,DuckRiver_RobertsBend,9
L_gent_Pop141,One,1,DuckRiver_RobertsBend,9
L_gent_Pop142,One,1,DuckRiver_RobertsBend,9
L_ful_Pop011,One,1,DuckRiver_Chicksaw,10
L_ful_Pop012,One,1,DuckRiver_Chicksaw,10
L_ful_Pop013,One,1,DuckRiver_Chicksaw,10
L_ful_Pop014,One,1,DuckRiver_Chicksaw,10
L_ful_Pop015,One,1,DuckRiver_Chicksaw,10
L_ful_Pop016,One,1,DuckRiver_Chicksaw,10
L_ful_Pop017,One,1,DuckRiver_Chicksaw,10
L_ful_Pop018,One,1,DuckRiver_Chicksaw,10
L_ful_Pop019,One,1,DuckRiver_Chicksaw,10
L_ful_Pop020,One,1,DuckRiver_Chicksaw,10
L_gent_Pop034,One,1,DuckRiver_Chicksaw,10
L_gent_Pop035,One,1,DuckRiver_Chicksaw,10
L_gent_Pop036,One,1,DuckRiver_Chicksaw,10
L_gent_Pop037,One,1,DuckRiver_Chicksaw,10
L_gent_Pop038,One,1,DuckRiver_Chicksaw,10
L_gent_Pop040,One,1,DuckRiver_Chicksaw,10
L_gent_Pop041,One,1,DuckRiver_Chicksaw,10
L_gent_Pop042,One,1,DuckRiver_Chicksaw,10
L_gent_Pop043,One,1,DuckRiver_Chicksaw,10
L_cf_gent_035,One,1,DuckRiver_IndustrialPark,11
