Specimen,SpecimenOrder,Site,SiteOrder
L_dutt_Pop014,1,Dyer,1
L_dutt_Pop015,2,Dyer,1
L_dutt_Pop016,3,Dyer,1
L_dutt_Pop017,4,Dyer,1
L_dutt_Pop020,5,Dyer,1
L_dutt_Pop023,6,Dyer,1
L_dutt_Pop101,7,NV,2
L_dutt_Pop102,8,NV,2
L_dutt_Pop103,9,NV,2
L_dutt_Pop105,10,NV,2
L_dutt_Pop011,11,CV,3
L_dutt_Pop012,12,CV,3
L_dutt_Pop013,13,CV,3
L_dutt_Pop064,14,KM,7
L_dutt_Pop065,15,KM,7
L_dutt_Pop066,16,KM,7
L_dutt_Pop067,17,KM,7
L_dutt_Pop068,18,KM,7
L_dutt_Pop069,19,KM,7
L_dutt_Pop070,20,KM,7
L_dutt_Pop071,21,KM,7
L_dutt_Pop072,22,KM,7
L_dutt_Pop073,23,KM,7
L_dutt_Rob036,24,B,9
L_dutt_Rob031,25,IP,11
L_dutt_Rob032,26,IP,11
L_dutt_Rob033,27,IP,11
L_dutt_Pop044,28,HWY412,12
L_dutt_Pop045,29,HWY412,12
L_dutt_Pop046,30,HWY412,12
L_dutt_Pop047,31,HWY412,12
L_dutt_Pop048,32,HWY412,12
L_dutt_Pop049,33,HWY412,12
L_dutt_Pop050,34,HWY412,12
L_dutt_Pop052,35,HWY412,12
L_dutt_Pop106,36,R,13
L_dutt_Pop107,37,R,13
L_dutt_Pop054,38,IB,14
L_dutt_Pop055,39,IB,14
L_dutt_Pop056,40,IB,14
L_dutt_Pop057,41,IB,14
L_dutt_Pop059,42,IB,14
L_dutt_Pop060,43,IB,14
L_dutt_Pop061,44,IB,14
L_dutt_Pop062,45,IB,14
L_dutt_Pop063,46,IB,14
L_dutt_Pop081,47,SP,15
L_dutt_Pop082,48,SP,15
L_dutt_Pop083,49,SP,15
L_dutt_Pop024,50,FW,16
L_dutt_Pop025,51,FW,16
L_dutt_Pop026,52,FW,16
L_dutt_Pop027,53,FW,16
L_dutt_Pop028,54,FW,16
L_dutt_Pop029,55,FW,16
L_dutt_Pop030,56,FW,16
L_dutt_Pop032,57,FW,16
L_dutt_Pop033,58,FW,16
L_dutt_Pop074,59,SM,17
L_dutt_Pop075,60,SM,17
L_dutt_Pop076,61,SM,17
L_dutt_Pop077,62,SM,17
L_dutt_Pop078,63,SM,17
L_dutt_Pop080,64,SM,17
L_dutt_Pop108,65,SM,17
L_dutt_Pop110,66,SM,17
L_dutt_Pop001,67,CB,18
L_dutt_Pop002,68,CB,18
L_dutt_Pop004,69,CB,18
L_dutt_Pop005,70,CB,18
L_dutt_Pop006,71,CB,18
L_dutt_Pop007,72,CB,18
L_dutt_Pop008,73,CB,18
L_dutt_Pop009,74,CB,18
L_dutt_Pop010,75,CB,18
L_dutt_Pop034,76,HM,19
L_dutt_Pop035,77,HM,19
L_dutt_Pop036,78,HM,19
L_dutt_Pop037,79,HM,19
L_dutt_Pop038,80,HM,19
L_dutt_Pop042,81,HM,19
L_dutt_Pop043,82,HM,19
L_dutt_Pop084,83,HWY31,21
L_dutt_Pop085,84,HWY31,21
L_dutt_Pop086,85,HWY31,21
L_dutt_Pop087,86,HWY31,21
L_dutt_Pop088,87,HWY31,21
L_dutt_Pop089,88,HWY31,21
L_dutt_Pop090,89,HWY31,21
L_dutt_Pop091,90,HWY31,21
L_dutt_Pop092,91,HWY31,21
L_dutt_Pop093,92,HWY31,21
L_dutt_Pop097,93,WB,23
L_dutt_Pop098,94,WB,23
L_dutt_Pop099,95,WB,23
