Specimen,Site,SiteOrder,SpecimenOrder,DapcCluster
L_ful_Pop183,SP,15,161,1
L_ful_Pop184,SP,15,162,1
L_ful_Pop185,SP,15,163,1
L_gent_Pop163,SP,15,241,1
L_gent_Pop164,SP,15,242,1
L_gent_Pop067,FW,16,199,1
L_gent_Pop070,FW,16,201,1
L_gent_Pop071,FW,16,202,1
L_gent_Pop072,FW,16,203,1
L_ful_Pop174,SM,17,153,1
L_ful_Pop176,SM,17,155,1
L_ful_Pop177,SM,17,156,1
L_ful_Pop178,SM,17,157,1
L_ful_Pop180,SM,17,158,1
L_ful_Pop181,SM,17,159,1
L_ful_Pop182,SM,17,160,1
L_gent_Pop153,SM,17,233,1
L_gent_Pop155,SM,17,234,1
L_gent_Pop156,SM,17,235,1
L_gent_Pop158,SM,17,236,1
L_gent_Pop159,SM,17,237,1
L_gent_Pop160,SM,17,238,1
L_gent_Pop161,SM,17,239,1
L_gent_Pop162,SM,17,240,1
L_gent_Pop016,C,18,194,1
L_gent_Pop023,C,18,196,1
L_gent_Pop177,D,1,245,2
L_cf_gent_032,HDM,19,55,2
L_cf_gent_033,HDM,19,56,2
L_ful_Pop057,HDM,19,100,2
L_gent_Pop085,HDM,19,215,2
L_gent_Pop086,HDM,19,216,2
L_gent_Pop089,HDM,19,218,2
L_gent_Pop090,HDM,19,219,2
L_gent_Pop091,HDM,19,220,2
L_gent_Pop092,HDM,19,221,2
L_gent_Pop093,HDM,19,222,2
L_cf_gent_045,LM,20,57,2
L_cf_gent_046,LM,20,58,2
L_cf_gent_047,LM,20,59,2
L_cf_gent_048,LM,20,60,2
L_cf_gent_049,LM,20,61,2
L_cf_gent_050,LM,20,62,2
L_cf_gent_051,LM,20,63,2
L_cf_gent_052,LM,20,64,2
L_cf_gent_053,LM,20,65,2
L_cf_gent_054,LM,20,66,2
L_ful_Pop114,LM,20,134,2
L_ful_Pop115,LM,20,135,2
L_ful_Pop116,LM,20,136,2
L_ful_Pop117,LM,20,137,2
L_ful_Pop047,HM,22,93,2
L_gent_Pop079,HM,22,209,2
L_gent_Pop082,HM,22,212,2
L_cf_dutt_021,41A,26,21,3
L_cf_dutt_022,41A,26,22,3
L_cf_dutt_025,41A,26,23,3
L_cf_dutt_027,41A,26,24,3
L_cf_dutt_028,41A,26,25,3
L_cf_dutt_029,41A,26,26,3
L_cf_dutt_030,41A,26,27,3
L_ful_Pop081,41A,26,124,3
L_ful_Pop082,41A,26,125,3
L_ful_Pop083,41A,26,126,3
L_ful_Pop084,41A,26,127,3
L_ful_Pop086,41A,26,129,3
L_ful_Pop087,41A,26,130,3
L_ful_Pop088,41A,26,131,3
L_ful_Pop089,41A,26,132,3
L_ful_Pop090,41A,26,133,3
L_cf_dutt_050,TF,27,33,3
L_cf_dutt_051,TF,27,34,3
L_cf_dutt_052,TF,27,35,3
L_cf_dutt_053,TF,27,36,3
L_cf_dutt_054,TF,27,37,3
L_cf_dutt_055,TF,27,38,3
L_cf_dutt_056,TF,27,39,3
L_cf_dutt_057,TF,27,40,3
L_cf_dutt_058,TF,27,41,3
L_cf_dutt_059,TF,27,42,3
L_cf_gent_060,TF,27,67,3
L_cf_gent_061,TF,27,68,3
L_cf_gent_062,TF,27,69,3
L_cf_gent_063,TF,27,70,3
L_cf_gent_064,TF,27,71,3
L_cf_gent_065,TF,27,72,3
L_cf_gent_066,TF,27,73,3
L_cf_gent_067,TF,27,74,3
L_cf_gent_068,TF,27,75,3
L_cf_gent_069,TF,27,76,3
