Specimen,Population,Site,SiteOrder,SpecimenOrder
L_gent_Pop044,Low,Dyer,1,1
L_gent_Pop045,Low,Dyer,1,2
L_gent_Pop046,Low,Dyer,1,3
L_gent_Pop047,Low,Dyer,1,4
L_gent_Pop048,Low,Dyer,1,5
L_gent_Pop049,Low,Dyer,1,6
L_gent_Pop050,Low,Dyer,1,7
L_gent_Pop051,Low,Dyer,1,8
L_cf_gent_055,Low,NV,2,9
L_cf_gent_056,Low,NV,2,10
L_cf_gent_057,Low,NV,2,11
L_cf_gent_058,Low,NV,2,12
L_cf_gent_059,Low,NV,2,13
L_gent_Pop118,Low,NV,2,14
L_gent_Pop119,Low,NV,2,15
L_gent_Pop120,Low,NV,2,16
L_gent_Pop121,Low,NV,2,17
L_gent_Pop122,Low,NV,2,18
L_cf_gent_001,Low,CV,3,19
L_cf_gent_003,Low,CV,3,20
L_cf_gent_004,Low,CV,3,21
L_cf_gent_005,Low,CV,3,22
L_gent_Pop024,Low,CV,3,23
L_gent_Pop025,Low,CV,3,24
L_gent_Pop026,Upper,CV,3,25
L_gent_Pop027,Low,CV,3,26
L_gent_Pop028,Low,CV,3,27
L_gent_Pop029,Low,CV,3,28
L_gent_Pop030,Low,CV,3,29
L_gent_Pop031,Upper,CV,3,30
L_gent_Pop032,Low,CV,3,31
L_gent_Pop033,Upper,CV,3,32
L_ful_Pop198,Low,TB,4,33
L_ful_Pop199,Upper,TB,4,34
L_ful_Pop200,Upper,TB,4,35
L_ful_Pop201,Low,TB,4,36
L_ful_Pop202,Low,TB,4,37
L_ful_Pop203,Upper,TB,4,38
L_ful_Pop204,Low,TB,4,39
L_ful_Pop205,Low,TB,4,40
L_ful_Pop206,Low,TB,4,41
L_ful_Pop207,Upper,TB,4,42
L_gent_Pop165,Low,TB,4,43
L_gent_Pop166,Low,TB,4,44
L_gent_Pop167,Low,TB,4,45
L_gent_Pop168,Upper,TB,4,46
L_gent_Pop169,Upper,TB,4,47
L_gent_Pop170,Low,TB,4,48
L_gent_Pop171,Low,TB,4,49
L_gent_Pop172,Low,TB,4,50
L_gent_Pop173,Low,TB,4,51
L_gent_Pop174,Low,TB,4,52
L_ful_Pop122,Low,LL,5,53
L_ful_Pop124,Low,LL,5,54
L_ful_Pop125,Low,LL,5,55
L_ful_Pop126,Low,LL,5,56
L_ful_Pop127,Low,LL,5,57
L_ful_Pop129,Low,LL,5,58
L_ful_Pop130,Low,LL,5,59
L_ful_Pop131,Low,LL,5,60
L_ful_Pop132,Low,LL,5,61
L_gent_Pop114,Low,LL,5,62
L_gent_Pop115,Low,LL,5,63
L_gent_Pop116,Low,LL,5,64
L_gent_Pop117,Low,LL,5,65
L_gent_Pop191,Low,LL,5,66
L_gent_Pop192,Low,LL,5,67
L_gent_Pop194,Low,LL,5,68
L_gent_Pop196,Low,LL,5,69
L_gent_Pop197,Low,LL,5,70
L_gent_Pop198,Low,LL,5,71
L_gent_Pop199,Low,LL,5,72
L_ful_Pop001,Upper,BL,6,73
L_ful_Pop004,Upper,BL,6,74
L_ful_Pop005,Upper,BL,6,75
L_ful_Pop006,Upper,BL,6,76
L_ful_Pop007,Upper,BL,6,77
L_ful_Pop009,Upper,BL,6,78
L_ful_Pop010,Upper,BL,6,79
L_gent_Pop004,Low,BL,6,80
L_gent_Pop005,Upper,BL,6,81
L_gent_Pop006,Upper,BL,6,82
L_gent_Pop007,Upper,BL,6,83
L_gent_Pop008,Low,BL,6,84
L_gent_Pop009,Upper,BL,6,85
L_gent_Pop010,Low,BL,6,86
L_gent_Pop011,Low,BL,6,87
L_gent_Pop012,Upper,BL,6,88
L_gent_Pop013,Upper,BL,6,89
L_ful_Pop101,Upper,KM,7,90
L_ful_Pop102,Upper,KM,7,91
L_ful_Pop103,Upper,KM,7,92
L_ful_Pop104,Upper,KM,7,93
L_ful_Pop105,Low,KM,7,94
L_ful_Pop106,Upper,KM,7,95
L_ful_Pop107,Upper,KM,7,96
L_ful_Pop108,Upper,KM,7,97
L_ful_Pop109,Upper,KM,7,98
L_ful_Pop110,Upper,KM,7,99
L_gent_Pop104,Low,KM,7,100
L_gent_Pop105,Upper,KM,7,101
L_gent_Pop106,Low,KM,7,102
L_gent_Pop107,Low,KM,7,103
L_gent_Pop108,Low,KM,7,104
L_gent_Pop109,Low,KM,7,105
L_gent_Pop110,Low,KM,7,106
L_gent_Pop111,Low,KM,7,107
L_gent_Pop112,Low,KM,7,108
L_gent_Pop113,Low,KM,7,109
L_cf_gent_006,Low,FM,8,110
L_cf_gent_007,Low,FM,8,111
L_cf_gent_008,Low,FM,8,112
L_cf_gent_009,Upper,FM,8,113
L_cf_gent_010,Low,FM,8,114
L_cf_gent_011,Upper,FM,8,115
L_cf_gent_012,Low,FM,8,116
L_cf_gent_013,Low,FM,8,117
L_cf_gent_014,Low,FM,8,118
L_cf_gent_015,Low,FM,8,119
L_ful_Pop025,Upper,FM,8,120
L_ful_Pop026,Upper,FM,8,121
L_ful_Pop027,Upper,FM,8,122
L_ful_Pop029,Upper,FM,8,123
L_gent_Pop054,Low,FM,8,124
L_gent_Pop055,Low,FM,8,125
L_gent_Pop057,Low,FM,8,126
L_gent_Pop058,Low,FM,8,127
L_gent_Pop059,Low,FM,8,128
L_gent_Pop060,Low,FM,8,129
L_gent_Pop061,Low,FM,8,130
L_gent_Pop062,Low,FM,8,131
L_gent_Pop063,Low,FM,8,132
L_cf_dutt_037,Upper,B,9,133
L_cf_dutt_038,Upper,B,9,134
L_ful_Pop153,Upper,B,9,135
L_ful_Pop154,Upper,B,9,136
L_ful_Pop155,Upper,B,9,137
L_ful_Pop156,Upper,B,9,138
