#Cfactor 0.034271
Recipient	L_dutt_Pop014	L_dutt_Pop015	L_dutt_Pop016	L_dutt_Pop017	L_dutt_Pop020	L_dutt_Pop023	L_dutt_Pop101	L_dutt_Pop102	L_dutt_Pop103	L_dutt_Pop105	L_dutt_Pop011	L_dutt_Pop012	L_dutt_Pop013	L_dutt_Pop064	L_dutt_Pop065	L_dutt_Pop066	L_dutt_Pop067	L_dutt_Pop068	L_dutt_Pop069	L_dutt_Pop070	L_dutt_Pop071	L_dutt_Pop072	L_dutt_Pop073	L_cf_dutt_036	L_cf_dutt_031	L_cf_dutt_032	L_cf_dutt_033	L_dutt_Pop044	L_dutt_Pop045	L_dutt_Pop046	L_dutt_Pop047	L_dutt_Pop048	L_dutt_Pop049	L_dutt_Pop050	L_dutt_Pop052	L_dutt_Pop106	L_dutt_Pop107	L_dutt_Pop054	L_dutt_Pop055	L_dutt_Pop056	L_dutt_Pop057	L_dutt_Pop059	L_dutt_Pop060	L_dutt_Pop061	L_dutt_Pop062	L_dutt_Pop063	L_dutt_Pop081	L_dutt_Pop082	L_dutt_Pop083	L_dutt_Pop024	L_dutt_Pop025	L_dutt_Pop026	L_dutt_Pop027	L_dutt_Pop028	L_dutt_Pop029	L_dutt_Pop030	L_dutt_Pop032	L_dutt_Pop033	L_dutt_Pop074	L_dutt_Pop075	L_dutt_Pop076	L_dutt_Pop077	L_dutt_Pop078	L_dutt_Pop080	L_dutt_Pop108	L_dutt_Pop110	L_dutt_Pop001	L_dutt_Pop002	L_dutt_Pop004	L_dutt_Pop005	L_dutt_Pop006	L_dutt_Pop007	L_dutt_Pop008	L_dutt_Pop009	L_dutt_Pop010	L_dutt_Pop034	L_dutt_Pop035	L_dutt_Pop036	L_dutt_Pop037	L_dutt_Pop038	L_dutt_Pop042	L_dutt_Pop043	L_dutt_Pop084	L_dutt_Pop085	L_dutt_Pop086	L_dutt_Pop087	L_dutt_Pop088	L_dutt_Pop089	L_dutt_Pop090	L_dutt_Pop091	L_dutt_Pop092	L_dutt_Pop093	L_dutt_Pop097	L_dutt_Pop098	L_dutt_Pop099
L_dutt_Pop014	0	136.342	140.349	134.154	146.18	143.09	124.209	125.245	125.08	127.338	99.3675	100.233	100.052	90.0388	94.0171	95.6815	93.0677	89.8336	90.8081	89.0962	88.3656	90.5438	89.7599	81.8826	83.0859	81.675	82.0918	81.6728	81.9848	81.4767	82.1765	82.4054	82.6192	82.2322	84.0278	84.5734	83.3215	80.0111	81.2871	81.8526	79.0887	78.5258	80.707	80.5904	79.9824	81.3627	80.506	79.9424	78.4844	79.5468	79.6054	81.7575	78.4765	79.7064	81.2409	81.1581	81.6066	80.6425	79.8301	81.2307	78.7259	81.5432	80.6814	78.5613	78.404	80.8792	79.7024	79.0511	79.3209	78.7663	78.7003	76.9357	78.6381	77.3725	79.0561	77.9856	78.4038	78.0804	78.6877	77.9797	77.3073	76.3485	77.6038	79.2253	79.013	78.817	79.2879	78.605	77.9792	78.2889	76.7237	78.7384	80.2518	78.5154	78.5979
L_dutt_Pop015	136.36	0	139.269	135.454	138.207	142.353	129.587	128.392	128.452	123.544	100.423	100.105	100.394	90.9372	93.0513	90.4162	93.4171	93.3901	91.1784	87.7204	90.4989	88.4322	91.5442	82.3352	84.2085	81.3057	83.3603	84.0735	81.5658	81.178	82.1365	81.6839	84.4657	81.5065	83.379	84.8803	82.8092	79.7606	79.703	82.0392	79.9364	79.81	81.36	81.3881	79.624	79.9206	81.7681	80.6944	78.9679	79.6742	79.8046	81.0612	79.8564	80.2251	80.9511	79.5806	79.3709	80.6484	79.3239	79.7241	78.5472	79.8534	78.273	77.4992	78.666	80.2881	78.8887	78.0311	78.8237	78.8623	77.8713	78.5511	79.5881	79.1289	80.0053	78.7983	78.046	77.4347	77.5985	78.0587	78.2306	78.9983	79.2976	78.5779	78.2098	78.2225	76.8037	77.8392	78.891	78.5897	78.8063	76.7899	78.6772	79.2216	80.8249
L_dutt_Pop016	140.069	139.986	0	138.118	136.814	140.491	133.641	131.397	129.644	126.26	105.207	104.9	103.862	92.2851	91.9099	89.6408	92.3849	92.094	91.2022	90.3417	87.9449	92.5343	91.3599	83.1217	82.3112	80.4674	83.6941	81.4951	80.8638	81.0079	81.9511	82.9211	82.9424	82.5508	81.6916	81.7976	84.1595	80.3555	78.4933	81.0343	78.3658	79.6855	80.7754	79.7495	79.9821	79.9619	83.8998	79.172	79.3285	78.4766	80.4497	78.2224	78.5438	80.4956	80.9728	79.1527	78.4505	79.7389	78.3387	79.9261	80.5815	79.8789	78.3091	78.6934	78.3176	79.4709	78.7979	77.3294	78.793	78.4737	78.0789	80.1752	78.9755	78.1319	79.8476	78.4816	78.3784	76.952	77.2735	78.923	77.8911	76.2831	79.0082	79.3704	77.5728	78.0278	77.1845	76.2495	77.4606	77.6964	76.637	77.238	78.1533	79.2411	79.4895
L_dutt_Pop017	133.706	134.569	137.664	0	140.691	133.884	118.713	120.091	122.76	121.949	98.2153	99.8062	100.152	89.4114	88.8586	91.8251	92.0898	90.9263	90.219	90.7924	90.2374	92.1098	91.3417	84.0183	82.276	82.2864	83.3681	85.5038	81.9361	81.4942	82.0575	81.8478	82.6987	81.3305	83.0387	82.9618	85.9247	78.96	80.5908	81.2446	79.5027	81.4804	85.3843	81.8487	80.8164	80.671	83.2029	81.8451	79.5744	79.1351	81.3707	80.7631	80.2702	80.8606	82.7705	78.3213	82.7979	81.5061	79.5112	81.1688	79.5039	80.5012	79.8792	80.1586	77.6254	81.8615	80.3852	80.2977	80.2426	78.722	78.7512	78.7192	78.0558	80.7081	79.3963	78.6396	77.6701	79.805	77.772	78.5712	77.684	79.3727	77.3915	79.9628	78.7076	78.1916	77.895	77.5244	80.0897	79.345	79.8009	78.3722	79.9541	80.9022	81.1887
L_dutt_Pop020	147.028	141.503	136.274	140.288	0	137.218	122.351	123.025	120.358	123.69	98.9889	97.2112	96.0204	89.6469	89.2168	91.6294	92.7099	90.596	93.0895	87.3146	88.1635	89.4666	92.8713	81.9178	83.472	83.7288	83.4603	82.5791	82.1201	82.5555	80.7716	80.626	82.8154	81.9741	84.221	81.9173	85.7978	79.9166	81.9736	80.4542	81.4957	78.7183	82.1893	81.5572	81.639	80.7569	82.8238	80.4397	81.1997	79.4014	80.3431	80.8165	80.2802	79.7003	80.8767	79.5918	79.3368	81.7481	80.4353	83.0666	79.2371	80.1668	78.788	81.6683	80.4834	80.2621	79.8907	80.096	80.1386	77.8449	79.5981	79.4283	78.3874	77.838	82.1487	80.2197	79.0668	78.4047	77.3625	77.8871	77.6194	78.5832	78.1811	79.2554	77.8672	77.3021	76.6662	80.0002	78.1649	77.3809	77.0346	78.2762	78.3445	78.7668	80.2619
L_dutt_Pop023	143.63	142.236	140.099	133.033	137.549	0	127.191	129.106	128.027	123.643	100.158	104.571	99.2199	91.2531	93.5277	90.869	90.0202	89.9426	89.2436	88.1811	88.7	89.2235	93.4109	82.5714	81.7994	79.6871	83.7841	84.0863	82.9157	81.7134	82.8338	81.4922	83.9836	82.8924	83.3754	83.2346	84.955	81.2403	79.3563	79.1279	78.6433	80.4235	80.1321	80.9432	80.7029	79.0489	81.7483	80.3661	79.7211	78.8497	79.9783	79.2517	77.9664	80.6021	80.3384	79.4691	79.4714	81.6616	79.5222	80.314	78.3069	80.4918	78.9328	81.7488	78.7289	79.9136	77.9138	77.5227	79.4337	77.4221	80.5801	78.5172	77.7549	78.5289	79.3435	79.4782	77.9673	77.3454	77.2102	78.6992	79.1026	77.8256	79.8831	80.2891	78.4621	78.2601	78.4215	77.8292	80.2293	79.6005	77.5958	77.5933	78.3239	78.682	79.0245
L_dutt_Pop101	123.598	129.103	132.022	118.489	121.807	126.226	0	138.386	202.855	135.518	103.08	101.798	99.3503	90.8654	90.4826	89.3792	93.1169	90.2489	90.8675	89.6196	90.1035	91.9303	89.6417	82.9984	83.2294	81.6701	84.1276	81.4873	81.9464	82.3507	81.9061	81.1102	81.9846	81.6063	83.746	81.497	84.2486	79.033	78.8655	79.3147	78.2195	80.8283	79.3933	79.4055	79.3974	81.2517	82.4619	80.219	80.8116	78.7425	80.3474	79.9818	80.1235	80.2695	80.8421	78.6592	79.6391	79.9632	78.714	79.582	78.5663	80.5285	78.7323	79.2064	79.4682	79.9292	80.1825	78.6311	78.2052	77.9669	78.2898	78.0443	79.2765	77.1266	79.2868	77.7718	77.0511	76.43	76.6443	76.8505	78.2881	77.4863	78.2126	77.1752	78.0164	80.0252	76.8386	78.0364	77.0373	78.6339	77.7902	77.5431	78.1488	78.0567	80.0606
L_dutt_Pop102	125.203	128.218	131.124	119.643	122.334	129.421	138.742	0	139.708	138.597	107.441	103.223	103.105	93.8546	93.0866	91.3588	92.8773	91.2473	95.2949	89.3958	91.2643	91.5499	91.5532	82.2425	82.8463	83.238	83.5173	82.6613	81.9212	82.409	83.6712	82.4751	84.4839	82.9914	82.4166	83.8953	83.5809	80.3203	78.6954	79.3511	80.573	82.0643	81.3252	78.9294	79.6262	79.3617	85.2675	81.431	80.2337	77.8981	80.2667	81.1949	78.3316	80.4302	80.3277	78.4953	80.0234	82.0673	79.0754	81.0787	81.0569	78.7198	79.1625	78.8484	76.9995	79.0668	79.7812	78.3481	79.5303	78.7224	78.3435	79.0982	78.4732	78.8322	79.4493	79.0616	78.6689	76.6192	77.8664	79.319	76.9993	78.2277	78.7715	78.733	78.4091	77.6957	77.648	77.8919	78.4896	78.9274	78.2685	77.0951	79.1383	78.9865	79.7937
L_dutt_Pop103	123.707	128.478	130.355	122.661	120.209	128.347	203.14	139.969	0	136.2	102.295	102.227	100.401	89.6319	92.1829	90.1901	91.4365	92.0577	91.8446	89.8364	90.5567	89.8381	90.8085	83.4939	83.2248	81.6138	82.7498	81.3268	84.1408	83.2809	81.6193	82.1223	83.1305	81.9808	84.8914	81.0928	84.6795	78.2314	78.6328	79.1515	78.6284	80.0604	78.4442	80.1289	79.5715	80.7789	80.5573	80.23	80.8207	78.9745	80.275	79.4654	79.1139	80.3086	79.5269	78.8398	79.6934	80.0569	77.6563	79.1981	77.4833	79.5356	78.1499	78.8962	77.4379	80.0871	81.0682	78.9553	79.1711	78.2513	78.3918	77.0445	77.8335	76.5863	80.3125	79.032	77.459	77.3349	75.6891	77.4476	78.7021	77.5511	77.3019	77.4121	76.4509	79.4624	77.4278	78.7278	77.5102	77.7348	76.7058	75.7551	78.1721	77.8929	80.9619
L_dutt_Pop105	128.197	124.431	126.512	121.654	122.661	124.122	135.951	139.985	136.115	0	104.595	97.7747	99.2906	89.791	93.7055	91.7403	90.8542	90.594	94.2952	87.9759	90.009	90.5504	92.6155	84.9198	84.1694	82.5972	84.1506	80.6441	81.8648	82.4061	80.9592	81.8783	84.1464	83.0658	84.6248	80.9298	86.7606	80.6542	80.5282	81.1385	80.3476	80.8252	81.8254	81.1213	80.0923	81.0058	82.5825	81.7412	80.6748	79.0315	80.1028	81.9565	81.0208	80.1446	81.1069	78.9373	82.0056	81.3924	79.2025	81.185	80.788	80.494	80.7862	80.4299	79.9278	80.1839	79.7469	79.6177	81.5447	81.8525	78.3213	78.6147	79.9202	78.4506	80.9221	79.0588	79.8131	77.1935	80.3561	78.3142	77.9624	78.9107	77.387	77.8434	79.0054	77.3439	77.3004	79.5324	80.2851	79.1237	76.3297	76.107	80.807	79.6831	78.8834
