#Cfactor 0.0236395
Recipient	L_gent_Pop044	L_gent_Pop045	L_gent_Pop046	L_gent_Pop047	L_gent_Pop048	L_gent_Pop049	L_gent_Pop050	L_gent_Pop051	L_cf_gent_055	L_cf_gent_056	L_cf_gent_057	L_cf_gent_058	L_cf_gent_059	L_gent_Pop118	L_gent_Pop119	L_gent_Pop120	L_gent_Pop121	L_gent_Pop122	L_cf_gent_001	L_cf_gent_003	L_cf_gent_004	L_cf_gent_005	L_gent_Pop024	L_gent_Pop025	L_gent_Pop026	L_gent_Pop027	L_gent_Pop028	L_gent_Pop029	L_gent_Pop030	L_gent_Pop031	L_gent_Pop032	L_gent_Pop033	L_ful_Pop198	L_ful_Pop199	L_ful_Pop200	L_ful_Pop201	L_ful_Pop202	L_ful_Pop203	L_ful_Pop204	L_ful_Pop205	L_ful_Pop206	L_ful_Pop207	L_gent_Pop165	L_gent_Pop166	L_gent_Pop167	L_gent_Pop168	L_gent_Pop169	L_gent_Pop170	L_gent_Pop171	L_gent_Pop172	L_gent_Pop173	L_gent_Pop174	L_ful_Pop122	L_ful_Pop124	L_ful_Pop125	L_ful_Pop126	L_ful_Pop127	L_ful_Pop129	L_ful_Pop130	L_ful_Pop131	L_ful_Pop132	L_gent_Pop114	L_gent_Pop115	L_gent_Pop116	L_gent_Pop117	L_gent_Pop191	L_gent_Pop192	L_gent_Pop194	L_gent_Pop196	L_gent_Pop197	L_gent_Pop198	L_gent_Pop199	L_ful_Pop001	L_ful_Pop004	L_ful_Pop005	L_ful_Pop006	L_ful_Pop007	L_ful_Pop009	L_ful_Pop010	L_gent_Pop004	L_gent_Pop005	L_gent_Pop006	L_gent_Pop007	L_gent_Pop008	L_gent_Pop009	L_gent_Pop010	L_gent_Pop011	L_gent_Pop012	L_gent_Pop013	L_ful_Pop101	L_ful_Pop102	L_ful_Pop103	L_ful_Pop104	L_ful_Pop105	L_ful_Pop106	L_ful_Pop107	L_ful_Pop108	L_ful_Pop109	L_ful_Pop110	L_gent_Pop104	L_gent_Pop105	L_gent_Pop106	L_gent_Pop107	L_gent_Pop108	L_gent_Pop109	L_gent_Pop110	L_gent_Pop111	L_gent_Pop112	L_gent_Pop113	L_cf_gent_006	L_cf_gent_007	L_cf_gent_008	L_cf_gent_009	L_cf_gent_010	L_cf_gent_011	L_cf_gent_012	L_cf_gent_013	L_cf_gent_014	L_cf_gent_015	L_ful_Pop025	L_ful_Pop026	L_ful_Pop027	L_ful_Pop029	L_gent_Pop054	L_gent_Pop055	L_gent_Pop057	L_gent_Pop058	L_gent_Pop059	L_gent_Pop060	L_gent_Pop061	L_gent_Pop062	L_gent_Pop063	L_cf_dutt_037	L_cf_dutt_038	L_ful_Pop153	L_ful_Pop154	L_ful_Pop155	L_ful_Pop156	L_ful_Pop157	L_ful_Pop158	L_ful_Pop159	L_ful_Pop160	L_ful_Pop161	L_ful_Pop162	L_gent_Pop133	L_gent_Pop134	L_gent_Pop135	L_gent_Pop136	L_gent_Pop137	L_gent_Pop139	L_gent_Pop140	L_gent_Pop141	L_gent_Pop142	L_ful_Pop011	L_ful_Pop012	L_ful_Pop013	L_ful_Pop014	L_ful_Pop015	L_ful_Pop016	L_ful_Pop017	L_ful_Pop018	L_ful_Pop019	L_ful_Pop020	L_gent_Pop034	L_gent_Pop035	L_gent_Pop036	L_gent_Pop037	L_gent_Pop038	L_gent_Pop040	L_gent_Pop041	L_gent_Pop042	L_gent_Pop043	L_cf_gent_035	L_cf_gent_036	L_cf_gent_038	L_cf_gent_039	L_cf_gent_041	L_cf_gent_042	L_cf_gent_044	L_ful_Pop091	L_ful_Pop093	L_ful_Pop094	L_ful_Pop095	L_ful_Pop099	L_ful_Pop100	L_gent_Pop095	L_gent_Pop097	L_gent_Pop098	L_gent_Pop099	L_gent_Pop100	L_gent_Pop101	L_gent_Pop102	L_gent_Pop103	L_ful_Pop143	L_ful_Pop146	L_ful_Pop147	L_ful_Pop148	L_ful_Pop149	L_ful_Pop150	L_ful_Pop151	L_ful_Pop152	L_gent_Pop123	L_gent_Pop124	L_gent_Pop125	L_gent_Pop126	L_gent_Pop127	L_gent_Pop128	L_gent_Pop129	L_gent_Pop130	L_gent_Pop132
L_gent_Pop044	0	82.1857	81.3784	82.9808	82.7994	149.949	142.477	144.976	79.7291	85.0975	80.1952	77.09	77.5709	81.8694	82.5793	80.5934	81.224	82.1756	81.9348	81.994	81.1022	81.0439	81.2042	81.106	77.3114	80.8684	80.3532	81.8267	79.552	75.3802	80.1131	76.7689	78.3996	75.1531	74.611	74.6691	76.792	76.9155	77.4727	76.1642	76.1893	72.856	76.8467	76.2055	76.8155	72.6121	75.9227	76.8554	78.3299	76.4952	76.5766	78.4364	76.2716	75.3144	78.1181	76.7102	74.4251	76.1194	74.7433	77.1694	74.5278	77.6177	76.6741	75.1425	76.7027	78.2493	77.5259	76.3153	75.8962	75.164	75.8413	77.6165	77.1641	72.0716	73.4489	72.727	75.0677	74.3813	73.936	75.8	71.2951	74.4156	70.5386	74.8684	73.4093	76.1588	76.063	75.3832	72.2603	76.6638	76.4836	74.2839	76.9014	75.5702	72.913	69.8432	75.5472	77.2166	73.3308	76.4999	76.0187	75.8842	75.4838	76.3579	74.9915	74.6635	73.7952	77.1828	73.3345	74.3788	74.7107	74.8499	71.0156	74.1462	72.7321	73.7249	73.836	73.8416	73.3999	76.402	73.0377	71.5946	76.3168	77.75	71.7044	75.5361	73.6526	73.6078	75.8394	75.5235	74.0865	74.6231	70.8474	73.4568	75.0146	70.7358	73.8852	71.9485	71.2655	72.3044	73.9796	74.9915	72.4545	72.5711	71.4958	71.5851	72.3103	72.3516	71.4467	72.4431	72.1582	76.7486	71.3593	70.2392	70.3078	71.792	71.0989	71.7514	77.7831	72.3418	70.6406	72.413	72.3167	72.3657	72.9289	72.8852	74.5385	71.5966	74.8592	74.8105	72.8857	73.1874	72.37	73.8161	72.4212	73.5452	72.5277	72.907	73.5125	71.8388	72.468	72.1977	72.7816	73.3766	74.4848	73.132	73.7077	70.3127	72.3653	71.3886	70.7104	72.5243	73.7675	72.7374	73.2551	71.2044	71.0015	71.4783	71.3345	72.3924	73.0227	70.668	71.8882	71.4922	71.6922	70.5247	70.3947	71.0189	73.4494	72.0357
L_gent_Pop045	81.6994	0	87.6105	86.0912	86.9987	83.8507	82.7565	82.7684	85.2417	82.6631	83.4389	85.358	84.5521	82.0676	83.3656	83.9556	83.0355	81.2055	80.9472	82.5421	83.1337	82.3604	82.3942	80.4294	76.3276	82.8988	81.6991	81.9679	80.9364	74.918	82.7262	76.6857	79.6687	75.4779	72.5528	78.3528	77.4577	73.5285	78.331	78.7398	79.347	74.9374	79.1245	79.7503	79.0074	74.4233	72.1416	78.2211	79.1888	79.3993	80.0362	77.9351	78.1429	79.2972	78.214	78.1278	79.1892	79.1267	77.2698	77.4347	76.9658	79.9859	76.9718	79.0748	79.2889	78.4606	78.9668	77.8606	79.3975	77.3021	79.1747	77.2167	72.9674	72.967	72.6098	72.6171	74.3041	73.9365	73.2055	77.796	72.759	74.1236	72.0189	78.347	73.8151	78.2964	77.662	75.0881	73.0582	75.2435	77.1451	76.2063	75.8888	77.5892	74.7579	73.1274	76.7101	76.269	71.6806	78.7143	76.6316	77.8886	77.1737	77.9916	77.0093	77.5688	76.9215	76.3103	76.9866	77.0159	77.2313	77.956	73.0202	75.2459	72.574	77.8175	77.722	77.2177	78.6576	72.3867	73.7842	72.4124	73.4393	77.208	77.3584	76.8837	78.7804	77.0055	76.7492	77.3373	78.5176	77.3478	70.4399	71.6635	73.462	72.2328	72.8008	71.673	72.1814	72.8614	71.9716	73.1022	73.7831	72.4328	70.9815	72.118	71.9905	72.3422	72.2254	71.8804	71.4354	74.1669	72.1698	72.6696	71.4104	71.4191	72.0855	70.9765	74.6975	72.0367	70.4405	72.8969	73.1223	72.6753	71.7676	73.0472	74.2506	72.9469	73.9327	71.9532	73.1712	72.2691	72.4955	72.8058	73.5083	72.8381	72.6647	72.4032	71.5016	72.8727	73.2714	72.6602	73.7714	71.7884	72.5387	71.8	71.9376	71.6678	72.9259	71.7164	73.0292	72.2815	71.9679	72.5375	71.5998	72.6136	73.4968	74.1561	72.4283	70.9148	71.8714	72.6295	73.2616	71.6637	72.3223	71.1622	73.2429	72.7894	70.8765	71.5343
L_gent_Pop046	81.0315	87.5018	0	85.6711	88.6293	83.3136	85.1644	85.6315	84.466	84.52	83.4079	83.8958	82.7948	84.8441	83.7166	83.3427	82.8136	84.2153	81.7025	83.1312	81.4708	82.7686	80.3077	81.0639	76.3323	82.0705	83.0009	82.5266	83.9211	75.2964	82.8425	77.161	79.6943	75.0867	73.942	79.509	78.3782	73.9573	79.0462	79.4464	78.9398	74.2456	80.1382	78.9122	78.6408	73.7407	73.8592	78.7099	79.4922	80.2453	79.5927	79.5886	79.6061	78.7948	80.0816	79.1331	77.5979	78.8195	78.4023	78.0666	78.7921	77.5638	80.2644	77.854	78.804	79.0044	79.0699	78.9372	78.09	76.8329	79.3186	78.3744	74.5884	72.4263	72.1027	72.6217	74.9191	73.0899	72.7322	78.7362	73.2129	72.9932	72.2116	77.4007	72.6782	78.7253	77.2941	73.5122	74.6423	75.9547	74.7847	75.5676	75.3189	76.43	74.3246	73.1051	74.9249	75.1803	72.8452	77.2429	75.3293	77.7056	76.9833	77.269	77.224	77.1904	76.5676	77.5676	76.1691	76.5793	76.4052	77.3975	72.715	76.4495	72.9812	77.3408	77.4387	76.3366	76.2541	72.8393	72.5088	73.8438	74.7446	77.4929	78.2104	77.0704	77.5704	77.7339	76.1528	76.9591	76.741	78.1874	72.0295	72.7174	71.7385	72.1923	73.1012	71.2104	72.2497	72.1535	71.3313	73.9237	72.0806	73.7581	71.8535	72.3896	72.3963	71.8499	72.9291	72.1013	71.4049	71.6228	73.4473	72.3375	72.4788	71.4647	72.2577	71.6443	75.7105	72.3628	70.9654	74.5104	71.181	72.4337	72.5642	72.1051	73.9008	72.5455	73.0279	71.7186	73.4065	72.5064	72.5903	70.9783	72.611	72.2724	72.8107	73.3035	71.6787	72.3846	72.5579	72.9095	71.426	72.7204	70.7015	71.1751	72.8973	72.1991	72.1329	72.6248	71.9262	72.5947	72.4773	72.7437	71.0928	72.5202	72.4345	72.12	72.3537	71.0619	71.9039	71.4427	72.7639	71.9435	71.467	71.617	72.4758	71.3266	71.6265	71.8773
L_gent_Pop047	82.6295	85.7867	85.2484	0	86.3437	82.6946	82.8966	82.7346	85.5844	82.8834	83.5754	85.1143	83.6498	83.9905	82.8801	85.0994	82.9639	83.1537	81.5374	82.0634	82.6195	80.6238	81.3083	81	75.7213	80.572	82.6591	82.3679	81.1254	75.1539	81.4016	75.7117	78.9073	72.9989	74.3685	78.7164	79.2809	73.1108	79.2795	79.3195	78.7897	74.0143	79.0413	79.164	77.9554	72.6132	73.085	78.7879	78.2366	78.7926	81.0519	78.9657	78.1752	77.0299	78.1442	78.857	78.2065	78.8438	79.0797	78.5255	77.5705	79.2302	77.8881	78.5878	79.3071	77.6699	78.057	78.5314	78.1063	77.8254	80.5241	77.9142	74.5882	72.033	72.1597	72.5442	74.2113	74.7504	72.63	77.8713	72.3197	72.7551	72.9666	79.4723	72.951	77.082	78.6657	75.2428	73.7786	75.4094	77.1051	74.8329	74.8132	77.9843	74.5422	72.4449	74.4946	74.4259	72.6983	78.4133	75.5816	77.4565	76.8553	76.4322	76.7697	76.6966	76.0346	76.8963	77.8852	77.1637	77.5741	76.755	71.5409	75.7532	72.6025	76.867	77.3269	76.9813	77.6894	73.1664	73.1001	73.6226	74.5495	77.7036	77.4378	76.3969	77.5823	76.9234	75.7393	77.479	76.0606	78.1081	72.4662	73.0782	75.0831	73.4078	74.4326	72.7771	71.3008	73.0568	72.3502	72.652	72.1902	72.3689	71.1344	71.151	73.329	73.2337	73.0101	72.5327	73.2791	73.4274	73.0758	71.682	71.6467	71.6419	74.7856	72.8716	75.1525	73.0584	73.3649	71.8341	73.3796	71.5074	73.569	73.7896	73.2493	72.4303	73.8285	72.726	75.0563	72.9807	73.506	71.267	73.0983	71.4888	72.3348	72.4415	72.988	72.6116	71.9112	71.3853	71.7693	73.1304	72.0983	72.32	73.2629	72.7611	72.5123	73.5105	72.3135	71.3522	72.3441	73.5052	72.1528	73.1092	73.3871	73.1537	71.8693	71.7104	71.8295	72.7416	71.814	71.0736	72.2773	71.4205	72.725	72.1565	72.0824	73.1282
L_gent_Pop048	82.4151	88.1338	88.5388	87.1023	0	84.8094	85.1537	83.9488	83.5165	83.2924	83.4994	85.2347	83.653	83.207	82.9182	83.4669	83.6438	84.8549	82.521	82.9025	82.2564	81.355	83.4459	82.3163	74.8967	81.935	83.5637	81.9525	82.3724	76.8229	83.3725	76.9139	80.3632	72.6176	74.0572	78.3123	78.7275	75.0377	78.7385	79.5427	78.7507	74.4622	79.7988	79.334	78.6251	74.2097	73.1262	79.4627	79.1159	80.7441	78.43	79.7886	78.3879	77.6201	78.9369	79.0155	78.7023	78.6421	79.0743	78.9913	77.8984	79.1978	78.865	79.0975	78.1476	79.9551	79.9278	79.6005	78.0726	78.7952	80.1523	79.1578	75.5087	71.5716	73.9153	73.2864	73.598	72.1374	74.4558	79.4083	73.3533	73.3545	73.5906	77.39	72.7739	78.6999	77.9378	73.7959	74.8667	76.2871	76.6552	73.7641	76.507	76.8154	74.4646	73.7203	73.8892	73.4537	73.3542	77.4428	74.7417	78.4902	76.0819	79.4586	76.3888	76.7506	76.995	78.0367	76.7454	77.8734	77.6665	78.0737	71.7226	76.7482	73.129	77.3943	76.6667	77.0583	76.8221	72.9779	71.4377	72.8484	73.4775	77.3743	77.2812	77.9555	77.7099	78.3301	78.2185	77.9866	77.7949	77.2762	72.1359	71.7868	74.8488	71.1649	73.2246	71.8413	71.8773	72.0792	71.2576	71.6509	72.4824	73.2683	71.3204	71.6609	72.1345	70.5564	73.0594	72.7976	72.0836	73.1053	71.9942	71.704	71.9818	70.9887	71.9998	69.7993	77.1691	73.5665	72.0519	72.2944	73.3872	72.3732	73.2154	73.1986	72.0789	71.8844	73.6581	71.6387	72.665	71.1854	72.1285	71.3888	71.7008	72.8679	71.8807	71.9503	70.7682	72.1414	71.988	71.2317	70.804	71.2153	71.1981	72.1847	71.7083	72.5035	71.2707	71.7656	72.0029	71.1168	71.0298	71.1463	71.81	71.3415	72.0355	72.2893	71.4355	72.6362	71.1587	71.7119	72.0345	70.3854	70.8762	71.8137	71.8277	71.2872	71.7058	73.4799
L_gent_Pop049	149.274	84.1516	83.5109	83.176	84.7341	0	172.406	172.942	80.3345	82.5554	81.126	82.9927	81.9076	82.149	81.7862	81.3926	81.5168	82.3534	79.9265	82.8985	81.8715	82.3518	79.0914	82.0759	78.5663	80.7678	80.2016	84.1297	79.0507	77.4801	82.3975	77.8375	77.9702	74.9228	73.2168	77.2161	77.6503	73.1013	77.3012	76.2639	77.8195	73.8215	77.7983	78.0169	76.2695	73.8948	73.9808	77.7359	78.3843	76.3261	76.5978	78.3384	76.0944	76.549	76.3079	76.3297	75.4971	77.4242	75.8927	77.5909	75.7788	77.4441	75.0558	76.6364	77.218	76.4849	75.9503	75.5678	74.5433	77.0496	76.0534	78.0511	71.6416	71.4186	72.7733	72.7688	74.8441	72.4225	72.303	74.9329	71.84	72.9714	72.8745	75.1304	71.8179	76.6549	75.7355	73.8376	71.2968	75.9354	76.515	75.4777	75.9583	74.7075	74.8512	73.1991	75.2379	76.6266	71.4755	76.1826	76.677	74.2835	74.0591	74.1074	76.8334	74.5823	74.4969	75.0044	73.1795	74.4483	73.899	75.0737	71.1277	73.908	73.2078	73.0732	74.0194	74.0407	73.5555	72.2875	71.6923	71.5792	75.2621	74.7898	74.5603	75.4623	75.5084	74.1365	74.3244	74.7571	75.6822	74.4201	71.9263	71.8664	72.4456	71.452	72.5322	73.807	70.7863	72.6778	72.0761	72.3168	69.7768	71.559	72.0745	72.5749	71.2418	71.6565	71.2598	71.2874	71.6232	75.5877	71.8932	71.4833	70.5285	72.8938	71.0261	71.3181	77.4502	70.9721	70.3983	70.5015	71.6077	70.9689	70.8965	70.7727	72.7973	71.9031	72.1982	72.3752	72.3642	71.7477	72.7658	72.3678	73.544	72.1106	70.5686	72.0622	71.2448	70.3144	70.477	71.3594	70.8958	70.526	70.8056	70.3477	73.2341	71.0296	71.7903	71.563	71.9973	71.6996	72.1922	71.9655	71.2127	71.3737	70.6481	71.6596	71.4828	71.1864	70.6147	70.55	71.1991	71.2908	70.5608	70.8754	72.2841	71.0306	71.1314	70.8431
L_gent_Pop050	144.432	84.5602	86.4586	83.5469	85.8211	174.345	0	176.31	82.86	82.0057	82.342	83.2631	81.5268	82.6441	81.5606	82.9075	82.4486	84.5874	82.1342	83.6093	83.6471	82.7398	81.4991	82.8184	76.0317	81.5614	82.8219	82.9375	80.8341	75.0316	84.2635	78.1344	79.2545	75.0504	72.1536	76.4751	77.9763	73.0654	77.9267	78.211	78.629	75.4582	78.0343	78.47	76.6944	72.7576	74.5668	78.91	77.6942	78.1364	79.0326	78.2833	76.3032	76.8407	78.0731	77.9075	76.6989	77.7351	78.6086	78.4104	76.312	77.3477	76.3857	77.0173	76.406	77.1741	76.0188	76.6323	76.2389	78.4997	78.013	78.8467	72.6993	71.1802	71.0712	72.5419	74.744	70.9922	73.0974	75.7298	71.1515	72.9184	70.9021	76.2975	71.4777	75.5475	76.1727	72.622	71.4433	74.5089	76.7046	74.3347	76.8063	75.5023	74.3486	73.9896	76.2729	76.214	71.0171	76.5984	75.727	75.2919	74.6467	76.0378	75.3105	73.8511	74.892	74.1599	74.1707	73.6546	74.4734	74.2816	71.929	73.5851	71.9919	74.4461	74.9689	74.3864	72.2291	72.2991	70.792	70.886	73.7942	75.4955	73.3782	74.5738	73.2703	75.9989	74.7994	75.0509	74.9564	74.3022	70.5948	71.7212	70.5843	71.2774	72.7847	72.1199	70.4668	70.3162	71.1281	71.1522	69.5254	71.931	70.5196	70.9216	70.1136	71.1055	72.1052	71.5619	70.7379	70.7917	72.2076	71.1267	70.2838	71.085	71.5616	72.1329	74.806	70.4911	70.6057	70.1656	71.6755	68.7298	72.8108	72.1683	71.9742	70.8876	71.8184	71.7728	73.0593	70.6865	70.4178	70.9123	71.5024	71.9288	69.8679	71.2643	69.8251	70.7011	69.5548	70.4194	71.3147	70.6548	71.6307	72.2287	70.0462	72.428	70.7516	71.8854	69.6389	70.9917	70.5549	72.8949	70.4873	71.4698	70.2071	71.1022	71.0828	71.6932	71.5397	70.5199	71.8659	70.1356	70.2866	70.6861	70.213	69.9409	71.1952	72.2019
L_gent_Pop051	145.184	83.3644	86.1638	83.5974	84.3117	173.481	176.27	0	80.7584	82.0479	81.894	82.3734	82.0172	80.2989	81.4354	81.248	82.0214	82.9818	80.914	82.8934	82.8912	80.5322	81.4021	79.3142	77.4812	79.9317	81.9452	83.7813	79.6845	76.3364	83.2824	78.4582	77.3524	75.0618	73.1783	76.8119	77.9113	73.1591	76.9439	76.5159	78.7447	74.0595	77.4806	76.7912	76.8348	73.4213	73.3774	78.7404	77.0734	76.6565	78.4462	76.6051	77.0529	76.5863	76.5288	76.7477	76.1297	76.6767	77.3502	76.3607	76.3701	75.6619	75.4819	75.7642	76.4118	76.6764	75.2125	74.6087	74.8554	76.6485	77.2617	77.7147	72.1562	71.8409	71.9924	73.8566	73.2105	72.5692	73.002	75.495	70.7694	72.5907	73.3227	76.2554	72.4064	75.0319	75.1244	74.2894	72.5304	74.5331	78.5234	74.8647	76.8144	75.25	75.3293	72.9494	76.2857	76.3116	70.7517	75.4554	75.8298	75.406	74.3405	74.9757	74.6086	75.1246	74.2596	75.5641	74.4508	75.0667	74.7068	75.2192	71.6255	73.8903	73.6524	75.2474	75.1332	73.815	73.8601	72.4229	71.7865	70.2605	72.5717	75.6802	74.6731	74.7218	74.1307	75.0167	74.8063	75.1119	75.4272	76.1151	71.1038	72.0809	71.4983	71.6812	73.9227	72.1381	70.577	71.9325	72.5735	74.5641	70.6846	70.3034	72.9246	72.6449	71.2078	71.5615	69.6156	70.9802	71.4199	72.6529	72.3798	71.6888	72.9002	71.858	71.5659	71.3451	75.7627	71.2873	71.2989	70.2389	72.2843	71.2133	73.0724	72.316	72.5262	71.9388	71.0958	71.4636	71.9465	71.1596	72.139	73.1305	72.9009	71.8108	69.9686	71.9563	70.2585	70.1502	70.7141	70.8162	71.3086	71.1338	71.9252	71.451	73.0389	70.8406	70.9459	71.1199	72.064	71.9874	70.3759	72.711	71.1809	70.9968	71.2492	70.862	70.7466	71.7808	70.5285	70.2952	71.804	71.1094	70.3634	70.5162	70.7927	71.3483	71.0929	70.5984
L_cf_gent_055	79.5459	85.3928	84.6805	85.9413	83.2643	80.2411	82.2791	80.509	0	84.189	85.8806	86.6282	84.7209	85.3017	85.5463	85.6491	84.8526	86.0274	83.312	82.9809	82.2971	83.692	83.5312	82.6113	75.261	82.8924	82.2852	81.8646	84.2271	76.0009	82.5401	75.9219	79.7297	72.8713	72.8544	79.4912	80.4313	72.4957	79.4289	80.071	79.4863	73.9944	80.1162	79.9574	78.3554	72.8725	73.3653	77.991	79.5428	78.6807	80.1113	78.4602	79.2844	78.2254	78.6536	79.001	78.1349	79.7433	78.6657	79.0914	78.5033	79.5968	79.576	79.7636	78.6198	78.8789	79.7721	80.4715	78.983	79.7415	79.3652	80.0606	73.7581	72.353	72.5668	72.3002	72.8281	73.6257	73.2027	78.0293	72.1629	72.1315	73.3475	78.5904	72.7216	76.8006	78.4201	72.0522	74.0685	75.562	76.1823	76.51	74.1401	77.6542	74.307	70.3204	74.5399	74.4267	72.1804	76.6248	75.6881	77.5234	77.9911	77.5269	78.4631	77.5933	76.2177	78.411	78.0665	76.7881	76.7318	76.7242	72.9786	78.4404	71.0977	75.9823	76.4232	77.0714	77.1806	72.985	75.3221	72.0203	74.1907	77.8821	78.0152	77.1363	78.0737	76.8357	76.6411	77.3082	77.3981	76.6146	72.9587	72.5914	70.9705	73.473	73.6176	72.512	72.9097	72.5859	72.8824	71.6268	71.8966	71.8641	72.0359	72.0451	72.1806	71.8247	71.4663	71.9889	72.4658	73.0006	73.0394	71.8289	72.0882	72.587	74.2515	72.0348	75.8921	73.0043	72.1324	72.6692	72.7136	72.333	73.238	72.6252	72.6567	72.7642	71.9051	71.4603	71.9453	70.1768	73.3357	72.2147	72.094	72.2752	72.4803	71.8069	72.3812	72.6265	72.5662	71.237	71.5507	72.0244	72.1734	70.4695	71.2004	70.9801	71.7743	73.1901	71.985	70.9006	71.0404	72.1551	71.1273	71.5765	72.904	72.6153	72.4871	71.5085	72.4823	72.1997	72.3549	71.1602	72.7358	71.3619	73.1591	70.6956	71.7126	71.9789
L_cf_gent_056	85.2685	82.6663	84.6832	83.1792	83.2642	82.4704	81.0488	81.3668	84.1716	0	84.412	84.3669	86.1063	84.9362	84.694	87.3451	86.1783	87.707	81.9859	82.0415	81.6161	83.6144	82.0571	81.9557	76.6838	83.7391	82.3287	81.5853	82.2047	74.9327	81.9077	76.3108	80.157	74.8852	71.3318	78.5939	78.6307	73.6425	80.0543	79.0808	78.4054	73.4328	78.8546	78.9846	78.8871	71.8819	73.2537	79.0343	78.8108	78.8916	81.062	79.7658	79.0071	79.5674	78.707	79.725	77.4985	78.9982	78.9579	80.3419	79.1174	79.6535	79.4491	79.0614	79.9398	78.2521	80.0439	78.417	78.5765	80.1553	78.3568	78.1308	74.0903	72.7475	72.609	74.0527	74.508	71.9586	73.8066	78.8173	73.6213	72.5536	71.2774	79.3089	74.0208	77.6819	77.368	72.5708	73.7541	76.3253	76.716	75.022	75.1776	76.8281	78.4082	73.2447	75.1151	74.6393	73.1011	77.6885	75.9016	77.7374	77.6154	77.952	77.1556	78.0317	77.1621	77.4577	77.2665	77.2756	77.5467	76.3971	73.2641	75.8062	71.1037	77.3258	76.9943	77.3291	77.7158	75.4797	71.3431	72.9518	73.6163	76.7838	78.809	79.0349	77.5116	76.8041	76.3978	76.7792	77.4734	77.1902	71.1538	72.7909	74.2327	71.8625	71.3169	72.9982	73.2764	71.3555	73.501	72.6186	73.6312	72.6745	71.0286	71.0713	70.9575	73.4402	73.0291	73.6363	71.3745	73.975	72.1768	70.8704	70.6895	72.0432	72.895	70.8988	74.7124	71.107	71.3492	71.6824	71.9072	72.2369	71.7721	70.7731	73.1599	71.7289	72.8271	71.4174	72.1355	71.6018	71.9983	72.9655	72.3419	71.6779	71.7225	74.0048	72.512	71.0207	73.0432	71.9654	72.0196	72.0154	72.506	71.6306	69.9853	71.41	73.3007	73.2004	72.1477	72.4095	71.4202	71.4574	71.4245	71.1564	72.162	71.1979	71.5018	72.6912	71.9454	72.2099	72.8041	71.1701	72.2248	71.9696	70.2941	73.5388	72.0999	72.2932
